x,y,z
0.4729079,0.418121,0.5373874
0.5027958,0.4108909,0.5756707
0.4899881,0.4190467,0.554225
0.479053,0.3898002,0.5852237
0.509084,0.4222011,0.5753149
0.4825544,0.4290187,0.5905449
0.5200021,0.4032541,0.578813
0.5034941,0.4396728,0.6119246
0.541118,0.4153571,0.5991703
0.5244902,0.4533696,0.6314357
0.5446909,0.4638724,0.6010828
0.5337754,0.4411232,0.6304168
0.510003,0.455551,0.6225579
0.5515936,0.4566765,0.6454947
0.5379028,0.4718038,0.6212775
0.5265524,0.4825932,0.6172573
0.5524571,0.4871569,0.6326283
0.5400441,0.497461,0.6274303
0.5651125,0.5014509,0.6415725
0.5516798,0.510798,0.6350301
0.5490296,0.5197429,0.6127859
0.5616503,0.5212959,0.6401545
0.5582515,0.5290099,0.6169353
0.5462757,0.5055754,0.6191541
0.5661077,0.5350592,0.6185163
0.5506028,0.5399037,0.608479
0.5488178,0.5137861,0.5945172
0.5329106,0.517111,0.5840793
0.5544086,0.5139924,0.5935099
0.5381208,0.5159849,0.5827774
0.559464,0.51121,0.5917555
0.5246672,0.5121948,0.5945526
0.5397162,0.4820113,0.5649616
0.5284156,0.5052746,0.5916395
0.5404605,0.503989,0.5511154
0.5078261,0.472384,0.5653865
0.543494,0.4933849,0.5491154
0.5107339,0.4607602,0.5636292
0.4933846,0.4575426,0.553117
0.4972455,0.4820161,0.5464655
0.4969286,0.444765,0.5534903
0.4916561,0.4415215,0.5293339
0.5135667,0.4320643,0.5409631
0.4977663,0.4285935,0.5329753
0.4797824,0.4298554,0.5049548
0.5068073,0.4176354,0.5389751
0.4910256,0.4204508,0.5122985
0.4793006,0.4199053,0.5065904
0.5065953,0.4147446,0.5214335
0.4966398,0.4159589,0.5166814
0.5148489,0.3842441,0.5139328
0.5155694,0.4142283,0.5283487
0.5176766,0.4178123,0.509615
0.5467073,0.4157324,0.5259792
0.5382188,0.420378,0.5226364
0.5466205,0.3917333,0.5362558
0.5599676,0.4253998,0.5368599
0.5520182,0.4319974,0.5343224
0.557974,0.4092134,0.527864
0.5559742,0.4407181,0.5636196
0.5939156,0.4149665,0.5489983
0.5538639,0.4276546,0.5557479
0.5720141,0.4338315,0.5227805
0.6042089,0.4325772,0.5615931
0.5925884,0.446044,0.5390095
0.5820579,0.4223369,0.5678754
0.5966087,0.4559522,0.5894948
0.5840544,0.4701603,0.5666175
0.590661,0.4463159,0.5808156
0.6026157,0.4877523,0.5825742
0.606506,0.4609797,0.5947046
0.6160204,0.4991531,0.5943713
0.603691,0.5092731,0.5902751
0.6187733,0.4856779,0.5876728
0.591529,0.4990075,0.5771818
0.6293755,0.4985058,0.5973776
0.6120976,0.5106627,0.5705401
0.5973764,0.5185348,0.5640512
0.6196427,0.5192355,0.5766097
0.6036772,0.5251498,0.5684534
0.5874218,0.5305051,0.5597609
0.6086442,0.5288421,0.5704102
0.6025766,0.5323007,0.5451711
0.6120569,0.5281567,0.5696665
0.6056451,0.5298302,0.5434874
0.5908336,0.5004843,0.5433442
0.6079494,0.5246252,0.540639
0.5746639,0.4945617,0.5542483
0.5857115,0.4934619,0.5132439
0.5915951,0.5155965,0.5252888
0.5876186,0.4834569,0.509742
0.5698606,0.4806355,0.4983686
0.589847,0.4715917,0.5073382
0.5544183,0.4685459,0.5107945
0.523417,0.4685719,0.4948353
0.5583177,0.4547168,0.5105237
0.5419062,0.4508488,0.5010947
0.5398338,0.4171397,0.4882428
0.548354,0.437153,0.503837
0.5309318,0.4378771,0.4756869
0.5334961,0.4008229,0.4851583
0.5548798,0.4221891,0.4873506
0.5448921,0.389919,0.4927482
0.5436901,0.3889446,0.472638
0.5532964,0.4160073,0.4714888
0.5594738,0.3828817,0.4845728
0.5707156,0.4123535,0.4846389
0.5783511,0.3812125,0.4985758
0.5666642,0.3889538,0.4755422
0.5582584,0.3939489,0.4732761
0.6020264,0.3901501,0.4969386
0.5802993,0.4004489,0.4893496
0.6008945,0.3746819,0.489354
0.6034375,0.4103731,0.5062642
0.606785,0.4191427,0.4899676
0.6075191,0.4218408,0.53806
0.6285914,0.4310216,0.5072964
0.620075,0.4405565,0.5056431
0.6493733,0.444573,0.5238745
0.6401008,0.454824,0.5214495
