x,y,z,color
0.1351745,0.3841383,0.1120775,0
0.1641309,0.3957987,0.08462355,0
0.1573372,0.4167637,0.1104864,0
0.1630946,0.3854847,0.1239058,0
0.1563905,0.4063556,0.109986,0
0.1623896,0.4159049,0.1256361,0
0.1557302,0.3952231,0.1138241,0
0.1611273,0.404883,0.1317532,0
0.1480974,0.4163564,0.1524575,0
0.1591124,0.3932541,0.1411715,0
0.1456876,0.4038544,0.1626692,0
0.1563897,0.4207484,0.1524108,0
0.1423947,0.3886375,0.1755166,0
0.1335089,0.4065702,0.1682758,0
0.137001,0.412994,0.189189,0
0.1406208,0.3771981,0.209913,0
0.1310508,0.3930253,0.2019559,0
0.1341362,0.3972996,0.2214931,0
0.125056,0.3705276,0.212201,0
0.109857,0.375327,0.2312386,0
0.1196792,0.345766,0.2174898,0
0.1054241,0.3498993,0.2348165,0
0.1152945,0.3607752,0.2601233,0
0.1012155,0.3232907,0.234154,0
0.1064112,0.3244305,0.2458945,0
0.09941436,0.3367107,0.2283983,0
0.1055204,0.3377956,0.2378314,0
0.09951964,0.3086897,0.2594306,0
0.1065167,0.3099326,0.2254123,0
0.1372687,0.3140671,0.2328765,0
0.1332429,0.2869728,0.2090758,0
0.1424973,0.2911902,0.2116133,0
0.1394631,0.2657233,0.2262359,0
0.1487665,0.2705582,0.1863614,0
0.1451967,0.2867449,0.2003817,0
0.1537266,0.2506564,0.2008903,0
0.1496231,0.2671128,0.1729348,0
0.1576458,0.2723705,0.1738312,0
0.1465571,0.2382227,0.1359768,0
0.1593694,0.2519901,0.1490564,0
0.1475305,0.2579166,0.1536515,0
0.1410609,0.2313444,0.1282704,0
0.1468818,0.2349742,0.132271,0
0.1393079,0.2492171,0.1084547,0
0.144362,0.2105147,0.1134727,0
0.1490688,0.2125354,0.1190114,0
0.1407299,0.2249138,0.09714627,0
0.1264162,0.1867068,0.106534,0
0.1360639,0.1967502,0.08508743,0
0.120904,0.1991182,0.09743616,0
0.1298997,0.1667953,0.07872225,0
0.1144392,0.1687404,0.09295979,0
0.1172677,0.1685017,0.1068503,0
0.1073015,0.1380051,0.09297573,0
0.1098292,0.1378607,0.1088909,0
0.1000369,0.1493776,0.09684152,0
0.1028358,0.108913,0.1146591,0
0.1301952,0.1160013,0.1310591,0
0.1193529,0.1259225,0.1264182,0
0.1223463,0.08776265,0.14731,0
0.1128945,0.1026374,0.139795,0
0.1157693,0.1070885,0.161486,0
0.1062154,0.08266401,0.1551853,0
0.1106565,0.09055182,0.1718463,0
0.09936526,0.06652072,0.2122917,0
0.1023177,0.07484847,0.1924151,0
0.08848482,0.08600282,0.2102384,0
0.09633236,0.06337091,0.2050462,0
0.08131405,0.07549154,0.2262291,0
0.07258127,0.09689018,0.2573525,0
0.07710423,0.1065294,0.2302496,0
0.08088934,0.07475626,0.2460267,0
0.518577,0.5418182,0.5540056,0
0.5191338,0.5418182,0.5538284,0
0.5305822,0.5418182,0.5627775,0
0.5440596,0.5418182,0.573585,0
0.5556996,0.5418182,0.5822625,0
0.5563893,0.5418182,0.5818105,0
0.5287266,0.5418182,0.5509512,0
0.5404402,0.5418182,0.5592616,0
0.5411242,0.5418182,0.5585088,0
0.5528297,0.5418182,0.5663661,0
0.524763,0.5418182,0.5763902,0
0.5362858,0.5418182,0.5426351,0
0.5369248,0.5418182,0.5406586,0
0.5488162,0.5418182,0.5472218,0
0.5627369,0.5418182,0.555781,0
0.5642388,0.5418182,0.55222,0
0.5354179,0.5418182,0.5572804,0
0.5499615,0.5418182,0.5224814,0
0.5619363,0.5418182,0.5266684,0
0.5626445,0.5418182,0.5217695,0
0.5742075,0.5418182,0.525063,0
0.5461046,0.5418182,0.5301346,0
0.5459934,0.5418182,0.5235401,0
0.5675061,0.5418182,0.4868284,0
0.5627238,0.5418182,0.4473093,0
0.487541,0.5418182,0.4186041,0
0.4938985,0.5418182,0.4304131,0
0.46272,0.5418182,0.4638858,0
0.4694105,0.5418182,0.4382027,0
0.4694105,0.5418182,0.4382027,0
0.4738979,0.5418182,0.4638955,0
0.4814578,0.5418182,0.4815995,0
0.4785416,0.5418182,0.4904648,0
0.4484166,0.5418182,0.5104181,0
0.4582193,0.5418182,0.4866795,0
0.468788,0.5418182,0.5038508,0
0.4686768,0.5418182,0.5115076,0
0.4415543,0.5418182,0.5297353,0
0.4547233,0.5418182,0.5450562,0
0.4570966,0.5418182,0.5509709,0
0.4700285,0.5418182,0.5243821,0
0.4860034,0.5418182,0.5401013,0
0.4588351,0.5418182,0.5531777,0
0.4588351,0.5418182,0.5531777,0
0.4784799,0.5418182,0.5702949,0
0.4932375,0.5418182,0.5395003,0
0.4932375,0.5418182,0.5395003,0
0.4668859,0.5418182,0.5491011,0
0.4836985,0.5418182,0.5597587,0
0.4876959,0.5418182,0.5585249,0
0.506243,0.5418182,0.5624006,0
