x,y,z,color
0.7943494,0.477453,0.509873,0
0.6343807,0.1978241,0.5141342,0
0.6771234,0.3507711,0.4913982,0
0.4992838,0.2258923,0.4447897,0
0.6950612,0.4584424,0.4698523,0
0.7686899,0.4757712,0.4986382,0
0.8272938,0.4518624,0.5319584,0
0.6555844,0.3643922,0.4778173,0
0.6606293,0.4392258,0.4594586,0
0.6360428,0.4708467,0.4395191,0
0.7887302,0.3824376,0.5335416,0
0.6330826,0.2140969,0.5090498,0
0.668888,0.4615794,0.4570527,0
0.6333755,0.2014205,0.5126829,0
0.7250164,0.4168325,0.494997,0
0.6859512,0.1639314,0.5470036,0
0.8378938,0.4735644,0.5308,0
0.6798699,0.234171,0.5248401,0
0.734592,0.2241211,0.5525643,0
0.5685795,0.4473887,0.4152361,0
0.5452311,0.173238,0.480275,0
0.7382995,0.3409354,0.5220059,0
0.560366,0.1897872,0.4826068,0
0.612652,0.4765288,0.4272858,0
0.830828,0.4510716,0.533788,0
0.7830384,0.4044163,0.524879,0
0.7851045,0.2423202,0.5705706,0
0.6169141,0.35157,0.4637262,0
0.6348134,0.5198292,0.4254361,0
0.7786775,0.4815371,0.5016001,0
0.7638932,0.2919631,0.5471948,0
0.5371675,0.203399,0.4682719,0
0.5224724,0.2334309,0.453281,0
0.7907819,0.4596585,0.5131591,0
0.6246423,0.2218592,0.5030586,0
0.608448,0.5175723,0.4140383,0
0.7012526,0.3783264,0.4947925,0
0.7724974,0.2209513,0.5707217,0
0.7833413,0.2568613,0.5657524,0
0.6814921,0.3571709,0.4916234,0
0.6301225,0.3247273,0.4771586,0
0.7506631,0.3401287,0.5278657,0
0.5617049,0.161678,0.4909773,0
0.7668707,0.3126239,0.5428485,0
0.7794639,0.4552324,0.5092205,0
0.6792072,0.3627271,0.4890477,0
0.7099882,0.2082184,0.5457366,0
0.5512515,0.2627346,0.4583127,0
0.4950168,0.2508424,0.4359564,0
0.6760224,0.289656,0.5077681,0
0.6724842,0.5142347,0.4441562,0
0.7669194,0.2236977,0.5674203,0
0.5426512,0.1884558,0.4748975,0
0.6145087,0.5152079,0.4174544,0
0.6022615,0.5315892,0.407348,0
0.7160807,0.4146063,0.4915375,0
0.7297282,0.4083624,0.4994836,0
0.7540658,0.486179,0.4890974,0
0.7871792,0.3879254,0.5313196,0
0.7808114,0.4406174,0.5138697,0
0.5612078,0.1725044,0.4877618,0
0.7217883,0.2115068,0.550209,0
0.6348008,0.2773812,0.4923624,0
0.5329037,0.2022932,0.4666333,0
0.4949152,0.2400044,0.4389021,0
0.7457697,0.3183593,0.5316445,0
0.5876601,0.4087846,0.4345931,0
0.8174783,0.4176903,0.5369169,0
0.6984591,0.3006809,0.5149543,0
