x,y,z
0.5128099,0.4457856,0.8634006
0.5128099,0.4656111,0.846169
0.5128099,0.4407217,0.8537464
0.5128099,0.4606648,0.8705087
0.5128099,0.4359836,0.8437325
0.5128099,0.4469417,0.8528202
0.5128099,0.4653331,0.8677259
0.5128099,0.4422348,0.8427013
0.5128099,0.4625215,0.8591916
0.5128099,0.438156,0.8664378
0.5128099,0.4587039,0.848828
0.5128099,0.4689157,0.8561831
0.5128099,0.4451709,0.8635457
0.5128099,0.4663773,0.8460277
0.5128099,0.4446636,0.8550721
0.5128099,0.4644822,0.8700771
0.5128099,0.476978,0.8452032
0.5128099,0.4627582,0.8605309
0.5128099,0.4752827,0.8698741
0.5128099,0.4521449,0.8434145
0.5128099,0.4737362,0.860451
0.5128099,0.4846869,0.8683116
0.5128099,0.4720816,0.8511485
0.5128099,0.4829162,0.8589193
0.5128099,0.4702586,0.8415877
0.5128099,0.4826484,0.8508282
0.5128099,0.4935716,0.8583356
0.5128099,0.4812993,0.8409595
0.5128099,0.4925817,0.8484154
0.5128099,0.4804203,0.864992
0.5128099,0.4917006,0.8722791
0.5128099,0.4798503,0.8547741
0.5128099,0.4915622,0.8620844
0.5128099,0.5048804,0.8709968
0.5128099,0.4918447,0.8517133
0.5128099,0.5052249,0.8606906
0.5128099,0.4936099,0.8429518
0.5128099,0.5055324,0.8501238
0.5128099,0.5282453,0.8662901
0.5128099,0.5059239,0.8391076
0.5128099,0.5179986,0.846283
0.5128099,0.5063713,0.8627505
0.5128099,0.5198249,0.8375406
0.5128099,0.5303922,0.8448858
0.5128099,0.5201326,0.861053
0.5128099,0.5409373,0.8415534
0.5128099,0.5202269,0.8504138
0.5128099,0.5320262,0.8574811
0.5128099,0.5543019,0.8395597
0.5128099,0.5319178,0.8466014
0.5128099,0.5438496,0.8555245
0.5128099,0.5314252,0.8356033
0.5128099,0.5535427,0.8518246
0.5128099,0.5665321,0.8604725
0.5128099,0.5436285,0.8333564
0.5128099,0.5655468,0.8496865
0.5128099,0.5415453,0.8569745
0.5128099,0.5528099,0.8299449
0.5128099,0.5654804,0.8386447
0.5128099,0.5529686,0.8548157
0.5128099,0.5639845,0.8618037
0.5128099,0.551539,0.8438945
0.5128099,0.5626047,0.8508292
0.5128099,0.5842872,0.8327402
0.5128099,0.5611942,0.8396308
0.5128099,0.5737809,0.8481233
0.5128099,0.5940815,0.8282799
0.5128099,0.5727896,0.8367782
0.5128099,0.5933195,0.850969
0.5128099,0.5722023,0.8252751
0.5128099,0.5942883,0.8411138
0.5128099,0.605547,0.8476903
0.5128099,0.5827399,0.8202608
0.5128099,0.6045542,0.836094
0.5128099,0.5814556,0.8427673
0.5128099,0.6031042,0.8244844
0.5128099,0.6156709,0.8329339
0.5128099,0.6013507,0.8472278
0.5128099,0.6138536,0.8214839
0.5128099,0.5905544,0.8282703
0.5128099,0.6117916,0.8443885
0.5128099,0.6222716,0.8172089
0.5128099,0.6091836,0.8333851
0.5128099,0.6197404,0.840345
0.5128099,0.6067198,0.8223155
0.5128099,0.6169935,0.8290341
0.5128099,0.6038923,0.8108128
0.5128099,0.6157405,0.8189965
0.5128099,0.6260445,0.8255583
0.5128099,0.6128782,0.807164
0.5128099,0.6231167,0.8137605
0.5128099,0.6097023,0.8294929
0.5128099,0.6198336,0.8359325
